"PointID","x","y","Density_0","Density_1","Density_2","Momentum_x","Momentum_y","Energy","Energy_ve"
2636, 3.930670779144332e-02, 1.637204962820661e-03, 3.139304578984325e-01, 2.372270462708710e-03, 3.162038420646965e-13, 4.333165764779292e+01, 1.926435410395551e+00, 1.152291423885324e+05, 5.081821727175646e+00
2637, 1.746400072497371e-02, 4.069792838919674e-03, 1.675715460638034e+00, 1.266283723404130e-02, 1.687716852643607e-12, 1.814688696121390e+01, -1.714094319179924e+00, -1.179495031813594e+05, 3.897249653377874e-04
2638, 5.384506162007061e-02, 1.526498026480235e-03, 1.068683760275373e-01, 8.075695921474743e-04, 1.078258827768526e-13, 1.379713621319871e+01, 1.530100635107414e+00, 1.472778899534289e+05, 2.847450607705916e+03
2639, 4.700285154717822e-02, 3.208554190251730e-03, 1.680291747045455e-01, 1.269741874342445e-03, 1.687150069490837e-13, 2.097054799252785e+01, 4.402044113779367e+00, 1.346667133135460e+05, 4.768205328086908e+02
2640, 5.673737563059923e-02, 3.911826575169094e-03, 1.450489322869423e-01, 1.096087649524255e-03, 1.454845546039828e-13, 6.133170516247971e+00, 4.248052015550085e+00, 1.390904485775684e+05, 2.520624251137292e+03
2641, 1.898590401998397e-02, 4.516706414174640e-03, 1.653197390098840e+00, 1.249267549193152e-02, 1.665044450839253e-12, 5.970118134285322e+01, -1.611284769640271e+01, -1.184952114687816e+05, 3.844866229040717e-04
2642, 4.556228935668314e-02, 1.058401052519913e-03, 1.572628679976876e-01, 1.188384392929675e-03, 1.584176419710767e-13, 3.173066526088678e+01, 1.449071855693497e+00, 1.387179532346063e+05, 3.969723071875317e+02
2643, 3.673032408036302e-02, 3.592532861980359e-03, 5.784560447357147e-01, 4.371204368279844e-03, 5.830332400851852e-13, 2.320070759671013e+01, 1.578662008476622e+01, 7.321147082596149e+04, 5.264235128383703e-02
2644, 7.277406236449183e-02, 7.285377875360792e-04, 9.685910922040634e-01, 7.319328152675992e-03, 9.756720607081479e-13, -2.098920161509343e+01, 3.746442392697835e-01, -1.879499468944625e+04, 2.854440255195401e-04
2645, 2.741471902589022e-02, 1.331474082245463e-03, 1.586235147118134e+00, 1.198666358023868e-02, 1.597547541739674e-12, 6.026883763725560e+01, -4.630224105227089e+00, -1.145016900035145e+05, 3.689088850498960e-04
2646, 5.200891504789014e-02, 1.446249453492838e-03, 1.128532848937010e-01, 8.527956037307689e-04, 1.137186084429176e-13, 1.716546858752331e+01, 1.439479380941429e+00, 1.459168121520965e+05, 2.214764364403522e+03
2647, 4.047801956421269e-02, 1.713465221853033e-03, 2.587178502453974e-01, 1.955046727295669e-03, 2.603434799393602e-13, 4.078842334777149e+01, 1.976205006070656e+00, 1.234560913519727e+05, 1.877651519007615e+01
2648, 5.152650227523698e-02, 1.445862044525321e-03, 1.148705026730853e-01, 8.680390630208027e-04, 1.157666064035283e-13, 1.806788247614688e+01, 1.521167184627591e+00, 1.454795535159289e+05, 2.039298195827344e+03
2649, 2.243420108674140e-02, 1.666029860649772e-03, 1.581469167445441e+00, 1.195064862049540e-02, 1.592718206910570e-12, 2.016151347658230e+01, -1.274188418761719e+01, -1.122483748973785e+05, 3.678036240545199e-04
